cluster,AB,BB,H,HR,SO,bb_allowed,day_of_week,days_rest,double,early_runs,extra_base_hits,h2h_prior_win_rate,hits_allowed,hr_allowed,innings_pitched,is_home,late_runs,led_after_3,led_after_6,middle_runs,offense_pressure_score,opp_prior_BB_mean_10,opp_prior_BB_mean_5,opp_prior_H_mean_10,opp_prior_H_mean_5,opp_prior_extra_base_hits_mean_10,opp_prior_extra_base_hits_mean_5,opp_prior_late_runs_mean_10,opp_prior_late_runs_mean_5,opp_prior_run_diff_mean_10,opp_prior_run_diff_mean_5,opp_prior_run_per_hit_mean_10,opp_prior_run_per_hit_mean_5,opp_prior_runs_allowed_mean_10,opp_prior_runs_allowed_mean_5,opp_prior_runs_scored_mean_10,opp_prior_runs_scored_mean_5,opp_prior_scored_first_rate_10,opp_prior_scored_first_rate_5,opp_prior_strikeout_walk_ratio_mean_10,opp_prior_strikeout_walk_ratio_mean_5,opp_prior_whip_like_mean_10,opp_prior_whip_like_mean_5,opp_prior_win_rate_10,opp_prior_win_rate_5,outs_pitched,power_score,prior_BB_mean_10,prior_BB_mean_5,prior_H_mean_10,prior_H_mean_5,prior_extra_base_hits_mean_10,prior_extra_base_hits_mean_5,prior_late_runs_mean_10,prior_late_runs_mean_5,prior_run_diff_mean_10,prior_run_diff_mean_5,prior_run_per_hit_mean_10,prior_run_per_hit_mean_5,prior_runs_allowed_mean_10,prior_runs_allowed_mean_5,prior_runs_scored_mean_10,prior_runs_scored_mean_5,prior_scored_first_rate_10,prior_scored_first_rate_5,prior_strikeout_walk_ratio_mean_10,prior_strikeout_walk_ratio_mean_5,prior_whip_like_mean_10,prior_whip_like_mean_5,prior_win_rate_10,prior_win_rate_5,run_diff,run_per_hit,run_prevention_score,runs_allowed,runs_scored,scored_first,season_to_date_run_diff_mean,season_to_date_win_rate,so_pitched,stadium_prior_run_mean,strikeout_walk_ratio,triple,whip_like
0,33.871,3.117,8.93,0.485,6.521,2.998,3.569,1.761,1.449,1.332,2.133,0.528,8.764,0.534,8.858,0.501,1.304,0.379,0.429,1.501,6.2,2.882,2.849,8.406,8.295,1.949,1.892,1.144,1.095,-0.77,-1.071,0.406,0.391,4.456,4.584,3.686,3.513,0.403,0.388,2.948,2.899,1.388,1.407,0.421,0.383,26.574,3.301,3.25,3.286,9.311,9.429,2.297,2.363,1.476,1.531,0.789,1.1,0.471,0.487,3.906,3.785,4.695,4.885,0.481,0.498,3.171,3.231,1.314,1.296,0.56,0.599,0.078,0.432,-1.162,4.133,4.211,0.424,0.357,0.523,6.502,4.239,3.131,0.198,1.337
1,33.675,3.013,8.778,0.542,6.49,3.125,3.552,2.007,1.405,1.348,2.124,0.443,8.934,0.496,8.877,0.499,1.299,0.367,0.437,1.448,6.057,3.238,3.265,9.295,9.398,2.297,2.361,1.461,1.505,0.734,1.022,0.469,0.483,3.933,3.814,4.667,4.835,0.479,0.494,3.147,3.2,1.32,1.301,0.556,0.592,26.632,3.384,2.886,2.847,8.431,8.315,1.964,1.911,1.144,1.09,-0.756,-1.052,0.406,0.391,4.459,4.577,3.703,3.525,0.404,0.389,2.934,2.883,1.39,1.407,0.423,0.385,-0.074,0.443,-1.351,4.239,4.165,0.459,-0.355,0.458,6.51,4.173,2.98,0.177,1.369
