,cluster 0,cluster 1
prior_run_diff_mean_10,0.057,0.057
prior_run_diff_mean_5,0.057,0.057
opp_prior_run_diff_mean_10,0.055,0.055
opp_prior_run_diff_mean_5,0.051,0.051
prior_runs_scored_mean_5,0.032,0.032
