meaningful_feature
d_r5_BB9
d_wpct10
d_r5_BABIP
d_sp_FIP
d_sp_ERA
d_s_FIP
d_s_HR9
d_sp_WHIP
d_r10_BB9
d_r5_WHIP
d_r10_Kpct
d_wpct5
d_r5_Rpg
elo_diff
