cluster,場次,勝率,主場比,得分,淨分差,先馳,六局領先,WE波動,攻勢RE24
0,591,0.839,0.513,6.849,3.195,0.685,0.594,0.195,2.147
1,703,0.215,0.489,2.01,-2.686,0.344,-0.499,0.166,-2.9
