cluster,AB,BB,H,HR,SO,bb_allowed,day_of_week,days_rest,double,early_runs,extra_base_hits,h2h_prior_win_rate,hits_allowed,hr_allowed,innings_pitched,is_home,late_runs,led_after_3,led_after_6,middle_runs,offense_pressure_score,opp_prior_BB_mean_10,opp_prior_BB_mean_5,opp_prior_H_mean_10,opp_prior_H_mean_5,opp_prior_extra_base_hits_mean_10,opp_prior_extra_base_hits_mean_5,opp_prior_late_runs_mean_10,opp_prior_late_runs_mean_5,opp_prior_run_diff_mean_10,opp_prior_run_diff_mean_5,opp_prior_run_per_hit_mean_10,opp_prior_run_per_hit_mean_5,opp_prior_runs_allowed_mean_10,opp_prior_runs_allowed_mean_5,opp_prior_runs_scored_mean_10,opp_prior_runs_scored_mean_5,opp_prior_scored_first_rate_10,opp_prior_scored_first_rate_5,opp_prior_strikeout_walk_ratio_mean_10,opp_prior_strikeout_walk_ratio_mean_5,opp_prior_whip_like_mean_10,opp_prior_whip_like_mean_5,opp_prior_win_rate_10,opp_prior_win_rate_5,outs_pitched,power_score,prior_BB_mean_10,prior_BB_mean_5,prior_H_mean_10,prior_H_mean_5,prior_extra_base_hits_mean_10,prior_extra_base_hits_mean_5,prior_late_runs_mean_10,prior_late_runs_mean_5,prior_run_diff_mean_10,prior_run_diff_mean_5,prior_run_per_hit_mean_10,prior_run_per_hit_mean_5,prior_runs_allowed_mean_10,prior_runs_allowed_mean_5,prior_runs_scored_mean_10,prior_runs_scored_mean_5,prior_scored_first_rate_10,prior_scored_first_rate_5,prior_strikeout_walk_ratio_mean_10,prior_strikeout_walk_ratio_mean_5,prior_whip_like_mean_10,prior_whip_like_mean_5,prior_win_rate_10,prior_win_rate_5,run_diff,run_per_hit,run_prevention_score,runs_allowed,runs_scored,scored_first,season_to_date_run_diff_mean,season_to_date_win_rate,so_pitched,stadium_prior_run_mean,strikeout_walk_ratio,triple,whip_like
0,3.791,1.92,3.436,0.74,2.738,1.972,1.838,8.801,1.295,1.699,1.574,0.151,3.413,0.745,0.668,0.5,1.717,0.486,0.495,1.852,5.587,0.644,0.842,1.068,1.447,0.497,0.629,0.471,0.637,1.144,1.6,0.077,0.106,0.93,1.346,0.836,1.124,0.145,0.207,0.8,1.059,0.162,0.226,0.14,0.199,2.003,2.733,0.692,0.925,1.205,1.551,0.526,0.738,0.598,0.82,1.191,1.623,0.071,0.101,0.851,1.177,1.012,1.337,0.152,0.212,0.857,1.176,0.151,0.204,0.122,0.19,4.445,0.257,5.473,3.102,3.15,0.495,0.99,0.095,2.712,0.51,2.488,0.433,0.492
1,3.794,1.962,3.456,0.753,2.736,1.912,1.854,10.591,1.312,1.734,1.622,0.153,3.478,0.748,0.674,0.5,1.68,0.482,0.496,1.81,5.546,0.693,0.92,1.205,1.545,0.526,0.732,0.597,0.814,1.209,1.636,0.072,0.102,0.853,1.188,1.014,1.338,0.152,0.215,0.859,1.171,0.152,0.206,0.124,0.191,2.021,2.856,0.644,0.835,1.078,1.441,0.503,0.634,0.471,0.629,1.138,1.576,0.077,0.105,0.92,1.343,0.84,1.114,0.145,0.209,0.799,1.051,0.161,0.226,0.14,0.198,4.468,0.26,5.651,3.179,3.135,0.499,0.902,0.092,2.76,0.477,2.467,0.419,0.502
