,game_id,season,season_tag,seq,date,stadium,source_release,source_range,source_url,source_json,team,opponent,is_home,runs_scored,runs_allowed,run_diff,win,early_runs,middle_runs,late_runs,scored_first,led_after_3,led_after_6,AB,H,BB,SO,double,triple,HR,extra_base_hits,power_score,run_per_hit,offense_pressure_score,outs_pitched,innings_pitched,hits_allowed,bb_allowed,hr_allowed,so_pitched,whip_like,strikeout_walk_ratio,run_prevention_score,home_away_label,result_label,run_diff_label,scoring_level,allowing_level,game_flow_label,offense_label,defense_label,month,season_wang,seq_wang,date_wang,stadium_wang,opponent_wang,is_home_wang,runs_scored_wang,runs_allowed_wang,run_diff_wang,win_wang,home_away_label_wang,result_label_wang,run_diff_label_wang,scoring_level_wang,allowing_level_wang,early_runs_wang,middle_runs_wang,late_runs_wang,scored_first_wang,led_after_3_wang,led_after_6_wang,game_flow_label_wang,AB_wang,H_wang,BB_wang,SO_wang,double_wang,triple_wang,HR_wang,extra_base_hits_wang,power_score_wang,run_per_hit_wang,offense_pressure_score_wang,offense_label_wang,outs_pitched_wang,innings_pitched_wang,hits_allowed_wang,bb_allowed_wang,hr_allowed_wang,so_pitched_wang,whip_like_wang,strikeout_walk_ratio_wang,run_prevention_score_wang,defense_label_wang
807,CPBL-2024-xa-268,中職2024年,2024,268,2024-08-18 17:05:00,臺中市洲際棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,中信兄弟,台鋼雄鷹,True,7,4,3,1,3,2,2,1,1,1,33,10,4,3,1,0,3,4,10,0.7,13.5,27,9.0,9,2,1,7,1.2222222222222223,3.5,0,主場,勝,中幅勝,高得分,中等失分,領先守成型,火力強勢,穩定守成,8,中職2024年,268.0,2024-08-18 17:05,臺中市洲際棒球場,台鋼雄鷹,True,7.0,4.0,3.0,True,主場,勝,小勝,高得分,中等失分,3.0,2.0,2.0,True,True,True,全場壓制型,33.0,10.0,4.0,3.0,1.0,0.0,3.0,4.0,10.0,0.7,13.5,火力強勢,27.0,9.0,9.0,2.0,1.0,7.0,1.22222222222222,3.5,0.0,穩定守成
808,CPBL-2024-xa-267,中職2024年,2024,267,2024-08-17 17:06:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,統一7-ELEVEn獅,樂天桃猿,False,2,4,-2,0,0,2,0,0,0,0,34,10,2,6,2,0,0,2,2,0.2,3.0,24,8.0,10,3,0,4,1.625,1.3333333333333333,-3,客場,敗,小敗,低得分,中等失分,一般拉鋸型,穩定攻擊,穩定守成,8,中職2024年,267.0,2024-08-17 17:06,樂天桃園棒球場,樂天桃猿,False,2.0,4.0,-2.0,False,客場,敗,小敗,低得分,中等失分,0.0,2.0,0.0,False,False,False,被壓制型,34.0,10.0,2.0,6.0,2.0,0.0,0.0,2.0,2.0,0.2,3.0,低效進攻,24.0,8.0,10.0,3.0,0.0,4.0,1.625,1.33333333333333,-3.0,普通防守
809,CPBL-2024-xa-267,中職2024年,2024,267,2024-08-17 17:06:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,樂天桃猿,統一7-ELEVEn獅,True,4,2,2,1,2,1,1,1,1,1,34,10,3,4,4,0,0,4,4,0.4,9.0,27,9.0,10,2,0,6,1.3333333333333333,3.0,2,主場,勝,中幅勝,中等得分,低失分,領先守成型,火力強勢,壓制力強,8,中職2024年,267.0,2024-08-17 17:06,樂天桃園棒球場,統一7-ELEVEn獅,True,4.0,2.0,2.0,True,主場,勝,小勝,中等得分,低失分,2.0,1.0,1.0,True,True,True,全場壓制型,34.0,10.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.4,9.0,穩定攻擊,27.0,9.0,10.0,2.0,0.0,6.0,1.33333333333333,3.0,2.0,穩定守成
810,CPBL-2024-xa-265,中職2024年,2024,265,2024-08-17 17:05:00,臺中市洲際棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,台鋼雄鷹,中信兄弟,False,3,5,-2,0,0,0,3,0,0,0,35,10,2,8,3,0,0,3,3,0.3,4.0,24,8.0,14,4,1,3,2.25,0.75,-7,客場,敗,小敗,中等得分,中等失分,一般拉鋸型,穩定攻擊,失分偏高,8,中職2024年,265.0,2024-08-17 17:05,臺中市洲際棒球場,中信兄弟,False,3.0,5.0,-2.0,False,客場,敗,小敗,中等得分,中等失分,0.0,0.0,3.0,False,False,False,被壓制型,35.0,10.0,2.0,8.0,3.0,0.0,0.0,3.0,3.0,0.3,4.0,穩定攻擊,24.0,8.0,14.0,4.0,1.0,3.0,2.25,0.75,-7.0,失分偏高
811,CPBL-2024-xa-265,中職2024年,2024,265,2024-08-17 17:05:00,臺中市洲際棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,中信兄弟,台鋼雄鷹,True,5,3,2,1,2,3,0,1,1,1,37,14,4,3,1,0,1,2,4,0.35714285714285715,9.5,27,9.0,10,2,0,8,1.3333333333333333,4.0,3,主場,勝,中幅勝,中等得分,中等失分,領先守成型,火力強勢,壓制力強,8,中職2024年,265.0,2024-08-17 17:05,臺中市洲際棒球場,台鋼雄鷹,True,5.0,3.0,2.0,True,主場,勝,小勝,中等得分,中等失分,2.0,3.0,0.0,True,True,True,全場壓制型,37.0,14.0,4.0,3.0,1.0,0.0,1.0,2.0,4.0,0.357142857142857,9.5,穩定攻擊,27.0,9.0,10.0,2.0,0.0,8.0,1.33333333333333,4.0,3.0,穩定守成
812,CPBL-2024-xa-264,中職2024年,2024,264,2024-08-16 18:35:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,統一7-ELEVEn獅,樂天桃猿,False,2,5,-3,0,0,2,0,0,0,0,31,6,3,3,2,0,0,2,2,0.3333333333333333,5.5,24,8.0,7,0,2,9,0.875,9.0,2,客場,敗,小敗,低得分,中等失分,一般拉鋸型,穩定攻擊,壓制力強,8,中職2024年,264.0,2024-08-16 18:35,樂天桃園棒球場,樂天桃猿,False,2.0,5.0,-3.0,False,客場,敗,小敗,低得分,中等失分,0.0,2.0,0.0,False,False,False,被壓制型,31.0,6.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,0.333333333333333,5.5,低效進攻,24.0,8.0,7.0,0.0,2.0,9.0,0.875,9.0,2.0,失分偏高
813,CPBL-2024-xa-264,中職2024年,2024,264,2024-08-16 18:35:00,樂天桃園棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,樂天桃猿,統一7-ELEVEn獅,True,5,2,3,1,4,1,0,1,1,1,30,7,0,9,0,0,2,2,6,0.7142857142857143,2.5,27,9.0,6,3,0,3,1.0,1.0,-2,主場,勝,中幅勝,中等得分,低失分,領先守成型,攻勢受阻,穩定守成,8,中職2024年,264.0,2024-08-16 18:35,樂天桃園棒球場,統一7-ELEVEn獅,True,5.0,2.0,3.0,True,主場,勝,小勝,中等得分,低失分,4.0,1.0,0.0,True,True,True,全場壓制型,30.0,7.0,0.0,9.0,0.0,0.0,2.0,2.0,6.0,0.714285714285714,2.5,零星攻勢,27.0,9.0,6.0,3.0,0.0,3.0,1.0,1.0,-2.0,壓制力強
814,CPBL-2024-xa-263,中職2024年,2024,263,2024-08-16 18:35:00,臺北市立天母棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,富邦悍將,味全龍,False,1,6,-5,0,0,0,1,0,0,0,32,6,0,6,1,0,0,1,1,0.16666666666666666,-1.0,24,8.0,9,4,1,7,1.625,1.75,-4,客場,敗,大敗,低得分,高失分,一般拉鋸型,攻勢受阻,失分偏高,8,中職2024年,263.0,2024-08-16 18:35,臺北市立天母棒球場,味全龍,False,1.0,6.0,-5.0,False,客場,敗,大敗,低得分,高失分,0.0,0.0,1.0,False,False,False,被壓制型,32.0,6.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.166666666666667,-1.0,低效進攻,24.0,8.0,9.0,4.0,1.0,7.0,1.625,1.75,-4.0,失分偏高
815,CPBL-2024-xa-263,中職2024年,2024,263,2024-08-16 18:35:00,臺北市立天母棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,味全龍,富邦悍將,True,6,1,5,1,0,5,1,1,0,1,31,9,4,7,2,0,1,3,5,0.6666666666666666,9.5,27,9.0,6,0,0,6,0.6666666666666666,6.0,5,主場,勝,大勝,高得分,低失分,領先守成型,火力強勢,壓制力強,8,中職2024年,263.0,2024-08-16 18:35,臺北市立天母棒球場,富邦悍將,True,6.0,1.0,5.0,True,主場,勝,大勝,高得分,低失分,0.0,5.0,1.0,True,False,True,後段追分型,31.0,9.0,4.0,7.0,2.0,0.0,1.0,3.0,5.0,0.666666666666667,9.5,火力強勢,27.0,9.0,6.0,0.0,0.0,6.0,0.666666666666667,6.0,5.0,壓制力強
816,CPBL-2024-xa-262,中職2024年,2024,262,2024-08-16 18:35:00,臺中市洲際棒球場,v0.1.0-2024,G1-G360 regular season,https://github.com/rebas-tw/rebas.tw-open-data/releases/download/v0.1.0-2024/CPBL-2024-OpenData.zip,CPBL-2024-OpenData/CPBL-2024-OpenData.json,台鋼雄鷹,中信兄弟,False,3,5,-2,0,0,0,3,0,0,0,34,9,1,5,1,0,1,2,4,0.3333333333333333,3.5,24,8.0,7,5,0,2,1.5,0.4,-8,客場,敗,小敗,中等得分,中等失分,一般拉鋸型,穩定攻擊,失分偏高,8,中職2024年,262.0,2024-08-16 18:35,臺中市洲際棒球場,中信兄弟,False,3.0,5.0,-2.0,False,客場,敗,小敗,中等得分,中等失分,0.0,0.0,3.0,False,False,False,被壓制型,34.0,9.0,1.0,5.0,1.0,0.0,1.0,2.0,4.0,0.333333333333333,3.5,穩定攻擊,24.0,8.0,7.0,5.0,0.0,2.0,1.5,0.4,-8.0,失分偏高
